job_title,company_name,location,summary,salary
Machine Learning/Data Scientist,Space-Eyes,Anywhere,"Data science: 1 year (Preferred).
Machine Learning: 1 year (Preferred).
Distributed Computing: 1 year (Preferred).
Data scientist: 1 year (Preferred).",Not Posted
NGS Data Scientist/Python Developer,"Miltenyi Biotec, Inc.",Anywhere,You will also be involved in the development of machine learning algorithms while working with lab scientists to develop in-house data analysis tools for R&D…,Not Posted
Data Scientist,ClearOne Advantage,"Baltimore, MD 21224 (Canton Industrial Area area)","We want to see a passion for machine-learning and research.
Build predictive models and machine-learning algorithms.
Combine models through ensemble modeling.","$70,000 - $80,000 a year"
"Analyst II, Data Science",Liberty Mutual Insurance,"Boston, MA 02101","The position requires a Master’s degree, or foreign equivalent, in Statistics, Mathematics, Economics, or another scientific field plus one (1) year of…","$89,700 - $148,800 a year"
Principal Data Scientist,Intuit,"Mountain View, CA 94041",Intuit’s Innovation and Advanced Technology Group is hiring a Data Scientist to focus on Security and Anti-fraud.,Not Posted
"Data Scientist, Office of Data Science",Liberty Mutual Insurance,"Boston, MA 02101","Demonstrated experience in deep learning, computer vision, natural language processing, and/or interpretable machine learning.","$93,400 - $134,100 a year"
Data Scientist,Northrop Grumman,"San Diego, CA","Data analytics and visualization, statistics.
The candidate applying for this position should be able to work across disciplines and organizations; identifying…",Not Posted
Senior Data Scientist,AETNA,Anywhere,"This role will build predictive models, work with clinical experts (e.g. doctors) to translate their subject matter expertise into machine learning models,…",Not Posted
Senior Data Scientist,Humana,Anywhere,"Knowledge of healthcare claims, clinical programs and interventions, health outcomes, population health.
Build smart systems that learn from health intervention…",Not Posted
Data Scientist,Infotree Service Inc,Anywhere,"Develop powerful business insights from social, marketing, industrial data and public policy using advanced machine learning techniques.",Not Posted
Senior Data Scientist,Adaptimmune,Anywhere,"Superior verbal and written communication skills with the ability to effectively advocate technical solutions to scientists, clinical teams and business…",Not Posted
Vertica Data Scientist,Micro Focus,Anywhere,"Identifies site-specific parameters and constraints that impact the solution.
Establishes the validity of a solution and its components.",Not Posted
Actuarial Services + Data Science Intern,"Commonwealth Care Alliance, Inc.",Anywhere,"Use programming and mathematical tools to solve important problems.
Experience with Python, git, SQL, healthcare data.",Not Posted
Data Scientist,"Amazon Dev Center U.S., Inc.",Anywhere,A post graduate degree in a scientific field is preferred but successful development and deployment of security analytics count.,Not Posted
Data Scientist Intern,HP,Anywhere,Four-year university students who are working in a non-technical internship role during their study or in summer breaks between university semesters.,Not Posted
Data Scientist,Apple,Anywhere,"(1) to three (3) years of experience in a Data Science role with proficiency in statistical analysis, quantitative analytics, forecasting/predictive analytics,…",Not Posted
"Senior Data Analyst, Programs",edX,Anywhere,"Collaborate with data engineering and your analytics peers to identify, implement, and drive adoption of analytics-based solutions.",Not Posted
Data Scientist / Data Analytics,Tredence Inc.,"Seattle, WA","Data analytics: 3 years (Preferred).
Lead and manage independently the onsite-offshore relation, at the same time adding value to the client.","$100,000 - $130,000 a year"
Data Scientist,Northrop Grumman,"San Diego, CA","Data analytics and visualization, statistics.
The candidate applying for this position should be able to work across disciplines and organizations; identifying…",Not Posted
"Analyst II, Data Science",Liberty Mutual Insurance,"Boston, MA 02101","The position requires a Master’s degree, or foreign equivalent, in Statistics, Mathematics, Economics, or another scientific field plus one (1) year of…","$89,700 - $148,800 a year"
Principal Data Scientist,Intuit,"Mountain View, CA 94041",Intuit’s Innovation and Advanced Technology Group is hiring a Data Scientist to focus on Security and Anti-fraud.,Not Posted
"Data Scientist, Office of Data Science",Liberty Mutual Insurance,"Boston, MA 02101","Demonstrated experience in deep learning, computer vision, natural language processing, and/or interpretable machine learning.","$93,400 - $134,100 a year"
Future Opportunity: Azure Data Architect,Avanade,"Boston, MA","You likely possess MS/ Ph.D. in a quantitative field such as computer science, applied mathematics, statistics, or machine learning.",Not Posted
Machine Learning Engineer,Apple,"Seattle, WA","In this highly collaborative role, you will be at the center of multiple efforts to make machine learning an accessible and powerful tool for all developers.",Not Posted
Data Scientist,ClearOne Advantage,"Baltimore, MD 21224 (Canton Industrial Area area)","We want to see a passion for machine-learning and research.
Build predictive models and machine-learning algorithms.
Combine models through ensemble modeling.","$70,000 - $80,000 a year"
Data Scientist,"Metron, Inc.","Reston, VA 20190 (Sunset Hills area)","As a Data Scientist you will be responsible for designing, implementing, and analyzing the results of innovative solutions to clients’ challenging machine…",Not Posted
Data Scientist,Triplebyte,Remote,You’ll report directly to Triplebytes' Head of Machine Learning and will work alongside a team of 6-8 machine learning engineers and data scientists.,"$150,000 - $225,000 a year"
Data Scientist,"Metron, Inc.","Reston, VA 20190 (Sunset Hills area)","As a Data Scientist you will be responsible for designing, implementing, and analyzing the results of innovative solutions to clients’ challenging machine…",Not Posted
"Data Scientist, Medical Diagnostics",Specific Diagnostics,"Mountain View, CA 94043","Used for bloodstream infection Specific’s solution provides results 2 days sooner than existing methods, saving patients suffering from drug-resistant infection…",Not Posted
Machine Learning Engineer,Apple,"Seattle, WA","In this highly collaborative role, you will be at the center of multiple efforts to make machine learning an accessible and powerful tool for all developers.",Not Posted
Data Scientist,Comcast,Anywhere,"Uses analytical rigor and statistical methods to analyze large amounts of data, extracting impactful insights using sophisticated statistical techniques such as…",Not Posted
Data Scientist,Primesys Technologies,Anywhere,Demonstrate strong implementation aptitude to translate objectives into a scalable solution to meet the needs of the end customer while meeting deadlines.,Not Posted
Data Scientist,Plymouth Rock Assurance,Anywhere,"An advanced degree in mathematics, machine learning, economics, statistics or a related field.
Knowledge of new and innovative modeling and statistical…",Not Posted
Data Scientist,Eaze,Anywhere,"Building production data science models utilized by many departments at Eaze as well as our core product, including predictive, vehicle routing, monte-carlo,…",Not Posted
Data Scientist,State of Utah,Anywhere,"A rewarding career opportunity using analytics, deductive reasoning, applied logic, and various communication techniques to inform decision making and meet data…",$27.77 - $46.49 an hour
"DATA SCIENTIST, Neuroscience",Boston University,Anywhere,"Extensive background in either computational neuroscience, image analysis, computer vision, or machine learning is preferred.",Not Posted
Jr. Data Scientist | Development Team,DarkOwl,Anywhere,"Work closely with our lead researchers to write, test, and develop analytical tools and solutions to help shape the future of our products.",Not Posted
Data Science Intern,Meketa Investment Group,Anywhere,"Knowledge of applied machine learning and the underlying math concepts.
The Data Science Intern is an excellent opportunity to develop modeling and analysis…",Not Posted
"Data Scientist, FEAR",Apple,Anywhere,"We ensure the trust and safety of Apple services through a combination of threat modeling, data analysis, and machine learning.",Not Posted
Data Scientist,Northwell Health,Anywhere,"Works on programs to apply data science methodologies, including predictive modeling and machine learning, data analytics and visualization, and usability and…",Not Posted
Data Scientist,ClearOne Advantage,"Baltimore, MD 21224 (Canton Industrial Area area)","We want to see a passion for machine-learning and research.
Build predictive models and machine-learning algorithms.
Combine models through ensemble modeling.","$70,000 - $80,000 a year"
"Analyst II, Data Science",Liberty Mutual Insurance,"Boston, MA 02101","The position requires a Master’s degree, or foreign equivalent, in Statistics, Mathematics, Economics, or another scientific field plus one (1) year of…","$89,700 - $148,800 a year"
